script	archived_source	result_role	execution_during_packaging
P5_V2_BUILD_AND_REVEAL.py	05_GSE297497_MPT_BRIDGE/13_MPT_OUTCOME_REVEAL/P5_V2_BUILD_AND_REVEAL.py	MPT core/factor/profile; original temporal	NOT RUN
P5_V2_IMPLEMENTATION_AUDIT_v1.py	05_GSE297497_MPT_BRIDGE/13_MPT_OUTCOME_REVEAL/P5_V2_IMPLEMENTATION_AUDIT_v1.py	Shared temporal audit	NOT RUN
P5_V2_GENE_LEVEL_COMPANION_v1.py	05_GSE297497_MPT_BRIDGE/13_MPT_OUTCOME_REVEAL/P5_V2_GENE_LEVEL_COMPANION_v1.py	Gene companion	NOT RUN
P5_V2_BUILD_OSTA_SPECIFICITY_v1.py	05_GSE297497_MPT_BRIDGE/14_OSTA_SPECIFICITY/P5_V2_BUILD_OSTA_SPECIFICITY_v1.py	Shared machinery	NOT RUN
P5_V2_AUTHOR_REPRO_v1.py	05_GSE297497_MPT_BRIDGE/15_PUBLICATION_VALIDATION/01_AUTHOR_REPRODUCTION/P5_V2_AUTHOR_REPRO_v1.py	S1 archived validation	NOT RUN
P5_V2_ATTRITION_AUDIT_v1.py	05_GSE297497_MPT_BRIDGE/15_PUBLICATION_VALIDATION/02_ATTRITION_AUDIT/P5_V2_ATTRITION_AUDIT_v1.py	S2 archived attrition	NOT RUN
P5_V2_FULL_B_NORMALIZATION_v1.py	05_GSE297497_MPT_BRIDGE/15_PUBLICATION_VALIDATION/03_B_NORMALIZATION/P5_V2_FULL_B_NORMALIZATION_v1.py	S3 archived invariance	NOT RUN
P5_V2_RUN_ALL_12_MPT_FULL.sh	05_GSE297497_MPT_BRIDGE/12_FORMAL_MPT_FULL/P5_V2_RUN_ALL_12_MPT_FULL.sh	Historical raw-processing wrapper	NOT RUN
P5_V2_RUN_ALL_6_OSTA_FULL.sh	05_GSE297497_MPT_BRIDGE/14_OSTA_SPECIFICITY/P5_V2_RUN_ALL_6_OSTA_FULL.sh	Historical raw-processing wrapper	NOT RUN
P5_STAGE1A_BUILD_FULL_EVOLUTION_SCORE.py	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1A_BUILD_FULL_EVOLUTION_SCORE.py	Evolutionary score	NOT RUN
P5_STAGE1A_RUN_FULL_TMD_PROJECTION.py	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1A_RUN_FULL_TMD_PROJECTION.py	Evolutionary TMD projection	NOT RUN
P5_STAGE1B_FIRST_FROZEN_BRIDGE_REVEAL.py	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_FROZEN_BRIDGE_REVEAL.py	Historical spatial ST2	NOT RUN
finalize_validation1_review.py	05_GSE297497_MPT_BRIDGE/15_PUBLICATION_VALIDATION/01_AUTHOR_REPRODUCTION/finalize_validation1_review.py	Author-reconstruction final review/counting fixture provenance	NOT RUN
verify_counting_fixture.py	05_GSE297497_MPT_BRIDGE/15_PUBLICATION_VALIDATION/01_AUTHOR_REPRODUCTION/verify_counting_fixture.py	Author-reconstruction final review/counting fixture provenance	NOT RUN
render_submission_assets.py	Submission-derived rendering entry point	Figures 1–4/S1–S3 and ST1/ST2; archived values only	Underlying same rendering code executed; standalone entry point source-checked
